,Category,Name,Location,Elevator Region,Cluster,Spelling
134,Women's Fashion,Paul & Shark,B1-80,,B1_B_8,"Paul & Shark, Paul and Shark"
135,Women's Fashion,REDValentino,B1-79,,B1_B_8,REDValentino
136,Women's Fashion,BALLY,B1-78,,B1_B_8,BALLY
137,Women's Fashion,Hermes,B1-41,,B1_B_6,Hermes
138,Women's Fashion,Louis Vuitton (Crystal Pavilion North) B1,B1-38,,B1_B_6,"Louis Vuitton (Crystal Pavilion North) B1, Louis Vuitton B1"
139,Women's Fashion,MIU MIU,B1-32,,B1_B_1,"MIU MIU, MIUMIU"
140,Women's Fashion,6five Barcode,B1-145,,B1_A_5,"6five Barcode, sixfive, 6five"
141,Women's Fashion,MOISELLE,B1-142,,B1_A_5,MOISELLE
142,Women's Fashion,CHANEL B1,B1-135,,,CHANEL B1
143,Women's Fashion,CELINE,B1-130,,B1_A_6,CELINE
144,Women's Fashion,Givenchy,B1-129,,B1_A_6,Givenchy
145,Women's Fashion,Saint Laurent,B1-116,,B1_B_3,Saint Laurent
146,Women's Fashion,Roberto Cavalli,B1-11,,B1_A_4,Roberto Cavalli
147,Women's Fashion,Maison Martin Margiela,B1-10,,B1_A_4,"Maison Martin Margiela, Maison, Martin Margiela"
148,Restaurants,Todai,B2-01,,B2_A_3,Todai
149,Men's Fashion,Citizen,B2-01A,,B2_A_4,Citizen
150,Restaurants,Bay Sushi,B2-01B,,B2_A_4,Bay Sushi
151,Bars & Nightclubs,Pangaea (Crystal Pavilion South),B2-05,,B2_A_4,"Pangaea (Crystal Pavilion South), Pangaea"
152,Men's Fashion,Zara Store,B2-08,,,"Zara Store, Zara"
153,"Handbag, Shoes & Accessories",Pedro,B2-100,,B2_A_6,Pedro
154,Women's Fashion,Bimba & Lola,B2-100A,,B2_A_6,"Bimba & Lola, Bimba, Lola, Bimba and Lola"
155,Women's Fashion,Gap,B2-101,,B2_A_6,Gap
156,Lingerie,La Senza,B2-102,,B2_A_6,"La Senza, LaSenza"
157,Men's Fashion,Banana Republic,B2-103,,B2_A_6,Banana Republic
158,Men's Fashion,Swatch,B2-105,,,Swatch
159,"Handbag, Shoes & Accessories",Nine West,B2-108,,B2_A_5,Nine West
160,"Handbag, Shoes & Accessories",Steve Madden,B2-108A,,B2_A_5,Steve Madden
161,Men's Fashion,7 for All Mankind,B2-109,,B2_A_5,"7 for All Mankind, Mankind, 7 for all"
162,Men's Fashion,Evisu,B2-110,,B2_A_5,Evisu
163,Men's Fashion,True Religion,B2-111,,B2_A_5,True Religion
164,"Handbag, Shoes & Accessories",Limited Edt Chamber,B2-112,,B2_A_5,"Limited Edt Chamber, Limited Edition"
165,Men's Fashion,Zara Other Store,B2-113,,B2_A_5,Zara Other Store
166,"Handbag, Shoes & Accessories",Kurt Geiger,B2-117,,B2_A_5,Kurt Geiger
167,Men's Fashion,N.Tyler,B2-118,,B2_A_5,"N.Tyler, Ntyler, Tyler"
168,Lifestyle & Gifts,UM,B2-119,,,UM
169,Cafes,tcc - The Connoisseur Concerto,B2-120,,B2_A_4,"tcc - The Connoisseur Concerto, tcc, concerto, The connoisseur"
170,"Handbag, Shoes & Accessories",Camper,B2-13,,B2_A_2,Camper
171,Men's Fashion,Bread & Butter,B2-14,,B2_A_2,"Bread & Butter, Bread and Butter"
172,Men's Fashion,A|X Armani Exchange,B2-15,,B2_A_2,"A|X Armani Exchange, Armani Exchange"
173,Men's Fashion,RAOUL,B2-17,,B2_A_1,RAOUL
174,"Handbag, Shoes & Accessories",Crabtree & Evelyn,B2-17A,,,"Crabtree & Evelyn, Crabtree, Crabtree and Evelyn"
175,Men's Fashion,Swarovski,B2-18,,B2_A_1,Swarovski
176,"Handbag, Shoes & Accessories",Victoria's Secret Beauty & Accessories,B2-19,,B2_A_1,"Victoria's Secret Beauty & Accessories, Victoria's Secret"
177,Cafes,The Coffee Bean & Tea Leaf - Beanstro,B2-20,,,"The Coffee Bean & Tea Leaf - Beanstro, The coffee bean and Tea leaf, cbtl"
178,Men's Fashion,Tommy Hilfiger Denim,B2-21,,B2_B_1,"Tommy Hilfiger Denim, Tommy Denim"
179,Women's Fashion,Michael Kors,B2-22,,B2_B_1,Michael Kors
180,Men's Fashion,BVLGARI B2,B2-35,,B2_B_1,BVLGARI B2
181,Men's Fashion,Louis Vuitton (Crystal Pavilion North) B2,B2-36,,,"Louis Vuitton (Crystal Pavilion North) B2, Loius Vuitton B2"
182,Men's Fashion,Cartier B2,B2-38,,,Cartier B2
183,"Handbag, Shoes & Accessories",Coach,B2-40,,B2_B_2,Coach
184,Men's Fashion,Porsche Design ,B2-41,,B2_B_2,Porsche Design
185,"Handbag, Shoes & Accessories",Bath & Body Works,B2-42,,B2_B_2,"Bath & Body Works, Bath and body works"
186,"Handbag, Shoes & Accessories",Sephora,B2-43,,B2_C_1,Sephora
187,"Handbag, Shoes & Accessories",Spectacle Hut Boutique B2,B2-45,,B2_C_1,"Spectacle Hut Boutique B2, Spectacle Hut B2"
188,Gourmet & Specialty Food,Cold Storage Specialty,B2-46,,B2_C_1,"Cold Storage Specialty, Cold Storage"
189,Restaurants,High Society,B2-47,,B2_C_1,High Society
190,Lifestyle & Gifts,That CD Shop,B2-48,,B2_C_1,That CD Shop
191,"Handbag, Shoes & Accessories",Guardian Health & Beauty,B2-49,,B2_C_2,"Guardian Health & Beauty, Guardian"
192,Food Court,Rasapura Masters,B2-50,,B2_C_2,Rasapura Masters
193,Restaurants,Kraze Burgers,B2-55,,B2_C_3,"Kraze Burgers, Craze burgers"
194,"Handbag, Shoes & Accessories",Eu Yan Sang,B2-56,,B2_C_3,Eu Yan Sang
195,Gourmet & Specialty Food,Chocolate. Candy. Delicatessen,B2-57,,B2_C_3,Chocolate. Candy. Delicatessen
196,"Handbag, Shoes & Accessories",GNC,B2-58,,,GNC
197,"Handbag, Shoes & Accessories",OSIM,B2-58,,,OSIM
198,"Handbag, Shoes & Accessories",Parfums Christian Dior,B2-58,,,Parfums Christian Dior
199,"Handbag, Shoes & Accessories",Watsons,B2-59,,B2_C_4,Watsons
200,Electronics & Telecommunications,EpiCentre,B2-60,,B2_C_4,EpiCentre
201,Men's Fashion,BERING,B2-61,,B2_C_4,BERING
202,Lifestyle & Gifts,Cath Kidston,B2-61,,B2_C_4,Cath Kidston
203,Cafes,Toast Box,B2-62,,B2_B_3,Toast Box
204,Restaurants,Din Tai Fung,B2-63,,B2_B_3,Din Tai Fung
205,Restaurants,TWG Tea Salon & Boutique Store,B2-65,,B2_B_3,"TWG Tea Salon & Boutique Store, TWG Store"
206,Men's Fashion,Ralph Lauren B2,B2-68,,B2_B_3,Ralph Lauren B2
207,Men's Fashion,Prada B2,B2-69,,,Prada B2
208,Lifestyle & Gifts,Montblanc,B2-71,,B2_B_4,Montblanc
209,Women's Fashion,Bottega Veneta B2,B2-72A,,B2_B_4,Bottega Veneta B2
210,Women's Fashion,Burberry B2,B2-78,,B2_B_4,Burberry B2
211,Men's Fashion,Damiani,B2-79,,B2_B_4,Damiani
212,"Handbag, Shoes & Accessories",Jeansctt lunettes,B2-80,,B2_B_4,"Jeansctt lunettes, Jeans lunettes"
213,"Handbag, Shoes & Accessories",Longchamp,B2-81,,B2_B_4,Longchamp
214,Men's Fashion,GUESS,B2-83,,,GUESS
215,Women's Fashion,Juicy Couture,B2-86,,B2_B_5,Juicy Couture
216,"Handbag, Shoes & Accessories",ECCO,B2-88,,B2_B_5,ECCO
